dataset,transforms,acc_mean,acc_std,f1_mean,rocket_time_mean,clf_fit_time_mean,clf_pred_time_mean,combo_total_time,dataset_total_time
ACSF1,TIME+DWT+DCT+HLB+DT1,0.8703333333333335,0.039537605165490534,0.8688558808076079,0.6177725760142009,0.0972348133722941,0.024515962600708006,30.38980746269226,30.43365740776062
Adiac,TIME+DWT+DCT+HLB+DT1,0.8176470588235294,0.014900487831051749,0.8087538457466731,0.3459079917271932,0.43624343077341715,0.11948341528574626,35.337021350860596,35.38221335411072
ArrowHead,TIME+DWT+DCT+HLB+DT1,0.8918095238095238,0.03729444038253841,0.8902752307839268,0.16127034664154052,0.04163148403167725,0.04586447874704997,10.620139837265015,10.704510688781738
BME,TIME+DWT+DCT+HLB+DT1,0.999111111111111,0.0022662308949301414,0.9991110222133325,0.09846117814381918,0.038763205210367836,0.041582123438517256,8.401859760284424,8.430683374404907
Beef,TIME+DWT+DCT+HLB+DT1,0.7655555555555557,0.08839445823643914,0.7604730557253776,0.12808532238006592,0.03649513721466065,0.00932168960571289,7.46030330657959,7.49130392074585
BeetleFly,TIME+DWT+DCT+HLB+DT1,0.9183333333333333,0.061214558907356505,0.917670317161837,0.11017600377400719,0.023771301905314127,0.0052289247512817385,6.276564121246338,6.305321931838989
BirdChicken,TIME+DWT+DCT+HLB+DT1,0.8966666666666666,0.0694422221866655,0.8956232271241021,0.11007654349009197,0.024917173385620116,0.005481831232706706,6.034276723861694,6.04482626914978
CBF,TIME+DWT+DCT+HLB+DT1,0.993111111111111,0.007394804092876058,0.9930870042286699,0.3017568635940552,0.03536801338195801,0.23832598527272542,25.97045111656189,26.018834352493286
Car,TIME+DWT+DCT+HLB+DT1,0.922222222222222,0.030832082056692453,0.9245697477206334,0.18447175979614258,0.06456418832143147,0.014096522331237793,10.499543190002441,10.547000408172607
Chinatown,TIME+DWT+DCT+HLB+DT1,0.9652089407191446,0.008679150072601003,0.9575699529284205,0.09705048561096191,0.02250809669494629,0.0911969264348348,10.773709774017334,10.809295892715454
ChlorineConcentration,TIME+DWT+DCT+HLB+DT1,0.7753125,0.01171747678268568,0.739925128401241,1.4573984257380168,0.48086140155792234,0.8826572815577189,121.45135951042175,121.68372178077698
CinCECGTorso,TIME+DWT+DCT+HLB+DT1,0.9593961352657006,0.022795189066755702,0.9592019682449612,3.3613675260543823,0.04153155485788981,0.33783645629882814,127.57238960266113,127.96898770332336
Coffee,TIME+DWT+DCT+HLB+DT1,1.0,0.0,1.0,0.09193025588989258,0.031510535875956217,0.008895047505696614,6.166904926300049,6.182674407958984
Computers,TIME+DWT+DCT+HLB+DT1,0.8149333333333334,0.025735751181748857,0.8145929511223738,0.5967180013656617,0.232224178314209,0.060925412178039554,35.24973487854004,35.34508967399597
CricketX,TIME+DWT+DCT+HLB+DT1,0.816837606837607,0.01609041042420162,0.817734078955133,0.4609872659047444,0.37899552981058754,0.09687786897023519,35.71807503700256,35.78069067001343
CricketY,TIME+DWT+DCT+HLB+DT1,0.8257264957264957,0.020367899756537643,0.8256710039156605,0.4637894344329834,0.3793140570322672,0.09559485912322999,35.67961597442627,35.75321888923645
CricketZ,TIME+DWT+DCT+HLB+DT1,0.8402564102564103,0.017138617030909867,0.8325802712638348,0.47068896452585857,0.3846427996953328,0.10261189142862956,36.36114287376404,36.442946910858154
Crop,TIME+DWT+DCT+HLB+DT1,0.7807242063492063,0.002612052497112074,0.7791367644478772,4.5803045447667445,41.25758206049601,3.8501625696818036,1688.9425973892212,1689.5286757946014
DiatomSizeReduction,TIME+DWT+DCT+HLB+DT1,0.9482570806100217,0.033941684035148426,0.894146292692059,0.24555004278818765,0.019538140296936034,0.07989827791849773,14.265632152557373,14.319133996963501
DistalPhalanxOutlineAgeGroup,TIME+DWT+DCT+HLB+DT1,0.7961630695443643,0.026617624797144575,0.7790639306312729,0.16509592056274414,0.38776982625325523,0.03438533941904704,23.237436294555664,23.300727128982544
DistalPhalanxOutlineCorrect,TIME+DWT+DCT+HLB+DT1,0.829710144927536,0.017350999996200944,0.8218899364440636,0.24218674500783285,0.5921171267827352,0.0720820426940918,35.271369218826294,35.31253242492676
DistalPhalanxTW,TIME+DWT+DCT+HLB+DT1,0.6906474820143884,0.021978780311538798,0.5119908978625121,0.16894714037577313,0.39515759150187174,0.033656891187032065,23.391949892044067,23.42223620414734
ECG200,TIME+DWT+DCT+HLB+DT1,0.9056666666666667,0.021860669909426127,0.8949935433533128,0.09336195786794027,0.0970841646194458,0.02508258024851481,9.525374412536621,9.541061639785767
ECG5000,TIME+DWT+DCT+HLB+DT1,0.9471851851851851,0.002645180932819631,0.5965156410592827,1.531134074529012,0.5052277247111002,1.0139564116795858,132.58737921714783,132.80723547935486
ECGFiveDays,TIME+DWT+DCT+HLB+DT1,0.9864498644986448,0.016024320649751806,0.9864462793342896,0.30157734553019205,0.021239209175109863,0.2177947203318278,24.169101238250732,24.216147422790527
EOGHorizontalSignal,TIME+DWT+DCT+HLB+DT1,0.8372007366482506,0.047349352048689015,0.8345455316359923,1.3573218186696372,0.3444795529047648,0.08646431763966879,63.57564377784729,63.77992916107178
EOGVerticalSignal,TIME+DWT+DCT+HLB+DT1,0.7888581952117864,0.058136684675430046,0.7835594976110208,1.3595863644282022,0.34093737602233887,0.0894785722096761,63.35310244560242,63.53348684310913
Earthquakes,TIME+DWT+DCT+HLB+DT1,0.7503597122302158,0.012342550822501469,0.48783108044140305,0.4110130548477173,0.3093158960342407,0.033415826161702473,30.685807943344116,30.764800310134888
ElectricDevices,TIME+DWT+DCT+HLB+DT1,0.891669908788311,0.026524879289090184,0.8647940153380446,3.5917261282602944,69.75433466434478,1.7868685086568197,2391.5236535072327,2392.0614013671875
EthanolLevel,TIME+DWT+DCT+HLB+DT1,0.6923999999999999,0.024311314238436382,0.6853627949843875,2.5707154083251953,0.48983376026153563,0.11831207275390625,107.64246225357056,107.9491024017334
